Royal Kludge RK G68 Tri Mode RGB Hot Swap Blue Switch Black Mechanical Gaming Keyboard	4,600
Royal Kludge RK G68 Tri Mode RGB Hot Swap Brown Switch Black Mechanical Gaming Keyboard	4,600
Royal Kludge RK G68 Tri Mode RGB Hot Swap Blue Switch White Gaming Keyboard	4,600
Logitech G213 Prodigy RGB Gaming Keyboard	4,700
Royal Kludge RK71 Tri Mode RGB Hot Swap (Brown Switch) White Mechanical Gaming Keyboard	4,800
Royal Kludge RK71 Tri Mode RGB Hot Swap (Blue Switch) White Mechanical Gaming Keyboard	4,800
Royal Kludge RK71 Tri Mode RGB Hot Swap (Brown Switch) Black Gaming Keyboard	4,800
Royal Kludge RK71 Tri Mode RGB Hot Swap (Red Switch) Black Gaming Keyboard	4,800
Skyloong SK61 White Hot Swap Wired (Brown Switch) RGB Mechanical Gaming Keyboard	4,800
Skyloong SK61 Black Hot Swap Wired (Red Switch) RGB Mechanical Gaming Keyboard	4,800
Skyloong SK61 RGB Hot Swap Wired (Blue Switch) Black Mechanical Gaming Keyboard	4,800
Skyloong SK61 RGB Hot Swap Wired (Brown Switch) Black Mechanical Gaming Keyboard	4,800
Royal Kludge RK 84 Tri Mode RGB Hot Swap (Brown Switch) Black Mechanical Gaming Keyboard	4,900
Royal Kludge RK 84 Tri Mode RGB Hot Swap (Blue Switch) Black Mechanical Gaming Keyboard	4,900
Royal Kludge RK 84 Tri Mode RGB Hot Swap (Red Switch) Black Mechanical Gaming Keyboard	4,900
Redragon Deimos K599 RGB (Red Switch) Black gaming Keyboard	4,950
A4TECH Bloody B820R RGB Black/Gray USB Light Strike LK Optical Mechanical Gaming Keyboard (Red Switch)	4,990
A4TECH Bloody B820R RGB Black/Gray USB Light Strike LK Optical Mechanical Gaming Keyboard (Blue Switch)	4,990
Royal Kludge RK 84 Tri Mode RGB Hot Swap Red Switch White Gaming Keyboard	5,000
Royal Kludge RK 84 Tri Mode RGB Hot Swap Blue Switch White Gaming Keyboard	5,000
Royal Kludge RK 84 Tri Mode RGB Hot Swap Brown Switch White Gaming Keyboard	5,000
Thermaltake Challenger Elite RGB Black Gaming Keyboard and Mouse Combo	5,000
Fantech MK885 RGB Wired Black Mechanical Gaming Keyboard	5,050
Fantech MK872 Optilite RGB Wired Black Mechanical Gaming Keyboard	5,200
Aula F2183 RGB Bluetooth (Tri Mode) Black Mechanical Gaming Keyboard	5,200
Royal Kludge RK92 Tri Mode RGB Hot Swap (Red Switch) Black Mechanical Gaming Keyboard	5,375
Royal Kludge RK61 Plus Tri Mode RGB Hot Swap (Brown Switch) Black Mechanical Gaming Keyboard	5,450
